Size, Algo, Time
10, Simulated Annealing, 0.01013937999960035, 1000
10, Simulated Annealing, 0.009169524997560075, 1000
10, Simulated Annealing, 0.009027677999256412, 1000
10, Simulated Annealing, 0.008608126998296939, 1000
50, Simulated Annealing, 0.011849031001474941, 1000
50, Simulated Annealing, 0.015427817997988313, 1000
50, Simulated Annealing, 0.01881628099727095, 1000
50, Simulated Annealing, 0.011493388999952003, 1000
50, Simulated Annealing, 0.009040740002092207, 1000
100, Simulated Annealing, 0.015359684002760332, 1000
100, Simulated Annealing, 0.022177091999765253, 1000
100, Simulated Annealing, 0.01585739599977387, 1000
100, Simulated Annealing, 0.015616988002875587, 1000
100, Simulated Annealing, 0.009879988003376639, 1000
500, Simulated Annealing, 0.03153472299891291, 1000
500, Simulated Annealing, 0.020429066997166956, 1000
500, Simulated Annealing, 0.024174166999728186, 1000
500, Simulated Annealing, 0.014657435000117403, 1000
500, Simulated Annealing, 0.019770104001509026, 1000
1000, Simulated Annealing, 0.02365047200146364, 1000
1000, Simulated Annealing, 0.03444780800055014, 1000
1000, Simulated Annealing, 0.015005233999545453, 1000
1000, Simulated Annealing, 0.021061740997538436, 1000
1000, Simulated Annealing, 0.027130955997563433, 1000
1500, Simulated Annealing, 0.040278280997881666, 1000
1500, Simulated Annealing, 0.02568438899834291, 1000
1500, Simulated Annealing, 0.020860290998825803, 1000
1500, Simulated Annealing, 0.055499394999060314, 1000
1500, Simulated Annealing, 0.045140321999497246, 1000
